kode_buku,judul_buku,pengarang,genre
0002005883,Gilead,Marilynne Robinson,Fiction
0002261987,Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories
0006163831,The One Tree,Stephen R. Donaldson,American fiction
0006178731,Rage of angels,Sidney Sheldon,Fiction
0006280897,The Four Loves,Clive Staples Lewis,Christian life
0006280935,The Problem of Pain,Clive Staples Lewis,Christian life
0006353282,An Autobiography,Agatha Christie,Authors, English
0006380832,Empires of the Monsoon,Richard Hall,Africa, East
000647022X,The Gap Into Madness,Stephen R. Donaldson,Hyland, Morn (Fictitious character)
0006472613,Master of the Game,Sidney Sheldon,Adventure stories
0006479677,If Tomorrow Comes,Sidney Sheldon,Adventure stories
0006480098,Assassin's Apprentice,Robin Hobb,American fiction
0006482074,Warhost of Vastmark,Janny Wurts,Fiction
0006483011,The Once and Future King,Terence Hanbury White,Arthurian romances
0006483895,Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories
0006483909,Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction
0006486142,Well of Darkness,Margaret Weis;Tracy Hickman,
000649045X,Witness for the Prosecution & Selected Plays,Agatha Christie,English drama
0006496431,The Little House,Philippa Gregory,Country life
0006496873,Mystical Paths,Susan Howatch,English fiction
000649689X,Glittering Images,Susan Howatch,English fiction
000649692X,Glamorous Powers,Susan Howatch,Clergy
0006498868,The Mad Ship,Robin Hobb,Fantasy fiction
0006499163,Post Captain,Patrick O'Brian,Aubrey, Jack (Fictitious character)
0006499260,The Reverse of the Medal,Patrick O'Brian,Adventure stories
0006499627,Miss Marple,Agatha Christie,Detective and mystery stories, English
0006511481,The Years of Rice and Salt,Kim Stanley Robinson,Black Death
0006512674,Spares,Michael Marshall Smith,Human cloning
0006513085,Gravity,Tess Gerritsen,Science fiction
0006514642,The Wise Woman,Philippa Gregory,Great Britain
0006514855,Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction
0006545866,The White Album,Joan Didion,American essays
0006550436,The Bonesetter's Daughter,Amy Tan,China
0006551394,The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism
0006551815,'Tis,Frank McCourt,Ireland
000664600X,Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction
0006754899,A Small Pinch of Weather,Joan Aiken,Children's stories, English
000690601X,The Princess of the Chalet School,Elinor Mary Brent-Dyer,Juvenile Fiction
0007103670,Koko,Peter Straub,Male friendship
0007105045,Tree and Leaf,John Ronald Reuel Tolkien,Literary Collections
0007111509,Partners in Crime,Agatha Christie,Beresford, Tommy (Fictitious character)
0007113803,Murder in Mesopotamia,Agatha Christie,Detective and mystery stories
0007116268,The Lord of the Rings, the Return of the King,Jude Fisher,Imaginary wars and battles
0007117531,All Families are Psychotic,Douglas Coupland,Dysfunctional families
000711933X,Death in the Clouds,Agatha Christie,Detective and mystery stories
0007119356,Appointment with Death,Agatha Christie,Detective and mystery stories
0007120680,Hallowe'en Party,Agatha Christie,Poirot, Hercule (Fictitious character)
0007120699,Hercule Poirot's Christmas,Agatha Christie,Christmas stories
0007120818,The Big Four,Agatha Christie,Detective and mystery stories
0007120869,The Thirteen Problems,Agatha Christie,Detective and mystery stories, English
0007120877,They Do it with Mirrors,Agatha Christie,American fiction
0007120966,A Murder is Announced,Agatha Christie,Detective and mystery stories, English
0007120982,The Mirror Crack'd from Side to Side,Agatha Christie,Marple, Jane (Fictitious character)
0007121008,Mrs McGinty's Dead,Agatha Christie,Belgians
0007121016,Taken at the Flood,Agatha Christie,Fiction
0007121024,The Hollow,Agatha Christie,Detective and mystery stories
0007121105,Third Girl,Agatha Christie,Belgians
0007122586,The Secret of Chimneys,Agatha Christie,Battle, Superintendent (Fictitious character)
0007124015,The Lord of the Rings,J. R. R. Tolkien,Baggins, Frodo (Fictitious character)
0007126905,The Metaphysical Club,Louis Menand,Cambridge (Mass.)
000712774X,The illustrated man,Ray Bradbury,Fiction
0007129653,Wilkins' Tooth,Diana Wynne Jones,Business enterprises
0007130317,Cut,Patricia McCormick,Emotional problems
0007135653,The Lord of the Rings,Gary Russell,Characters and characteristics in motion pictures
0007136587,The Lord of the Rings,John Ronald Reuel Tolkien,Fantasy fiction, English
0007136595,The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,Baggins, Frodo (Fictitious character)
0007137338,Lirael,Garth Nix,Fantasy fiction
0007149123,Tales from the Perilous Realm,John Ronald Reuel Tolkien,Fairy tales, English
0007149611,Breaking Open the Head,Daniel Pinchbeck,Hallucinogenic drugs
0007149824,The Yiddish Policemen's Union,Michael Chabon,Fiction
000715030X,Beware, Princess Elizabeth,Carolyn Meyer,Children's stories
0007151241,The Family Way,Tony Parsons,Parenthood
0007151675,Endless Night,Agatha Christie,FICTION
0007153589,How to be Alone,Jonathan Franzen,Literary Collections
0007154844,The Mysterious Mr. Quin,Agatha Christie,Detective and mystery stories
0007154887,The Listerdale Mystery,Agatha Christie,Detective and mystery stories
000715805X,The Real Trial of Oscar Wilde,Merlin Holland,Biography & Autobiography
0007158513,I Can Read with Me Eyes Shut!,Dr. Seuss,Authors, American
0007158521,Oh, the Places You'll Go!,Dr. Seuss,Adventure stories
0007162995,If I Die in a Combat Zone,Tim O'Brien,Vietnam War, 1961-1975
0007171994,The Return of the King,J. R. R. Tolkien,Baggins, Frodo (Fictitious character)
0007173024,The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,Fiction
000717313X,I Wish that I Had Duck Feet,Dr. Seuss;Barney Tobey,Children's stories
0007175221,Oh Say Can You Say?,Dr. Seuss,Children's stories
0007178638,There's a Boy in the Girls' Bathroom,Louis Sachar,Boys
0007179812,Microserfs,Douglas Coupland,Computer programmers
0007179820,Miss Wyoming,Douglas Coupland,Actors
0007189958,Where Rainbows End,Cecelia Ahern,Friendship
0007190689,Poirot,Agatha Christie,Authors
0007191928,The Art of The Lord of the Rings,Gary Russell,Costume
0007195303,The Known World,Edward P. Jones,African American plantation owners
0007195710,Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,Conduct of life
0007204442,Naked Lunch,William S. Burroughs,Alienation (Social psychology)
0007204469,Tropic of Cancer,Henry Miller,Fiction
0007205589,Close Range,Annie Proulx,Cowboys
0020199856,The Love of the Last Tycoon,F. Scott Fitzgerald,Fiction
0020264739,The Song of Rhiannon,Evangeline Walton,Fiction
0020360754,Heart Songs and Other Stories,Annie Proulx,Fiction
0020442602,The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction
0020442807,The Chronicles of Narnia: Lion, the witch and the wardrobe,Clive Staples Lewis,Fairy tales
0020518609,The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction
0020867409,The Screwtape Letters ; With, Screwtape Proposes a Toast,Clive Staples Lewis,Christianity
0023513209,Reason in History,Georg Wilhelm Friedrich Hegel,Philosophy
0024181900,The Elements of Style,William Strunk;Elwyn Brooks White,Language Arts & Disciplines
002426640X,The Presocratics,Philip Wheelwright,Philosophy
0026995018,Spandau,Albert Speer,History
002705490X,The Rumble Seat Pony,Clarence William Anderson,Animals, Treatment of
0027897508,The Journey with Grandmother,Edith Unnerstad,Grandmothers
0029131693,Tyranny of the Majority,Lani Guinier,History
0029221307,The Origins of the Civil Rights Movement,Aldon D. Morris,History
0029227968,Presidential Power and the Modern Presidents,Richard E. Neustadt,History
0030420563,Rest, Rabbit, Rest,Jacquelyn Reinach;Richard Hefter,Juvenile Fiction
0030547741,Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction
0060000147,Poppy's Return,Avi,Juvenile Fiction
0060001534,Diary of a Spider,Doreen Cronin,Juvenile Fiction
0060004509,An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction
0060005696,The Paradox of Choice,Barry Schwartz,Business & Economics
006000942X,How to Read Literature Like a Professor,Thomas C. Foster,Literary Criticism
006001234X,The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction
0060012382,The Wee Free Men,Terry Pratchett,Juvenile Fiction
0060013133,Going Postal,Terry Pratchett,Fiction
0060084383,Modern Mind,Peter Watson,Science
0060085444,She Went All the Way,Meg Cabot,Fiction
0060085495,Island,Aldous Huxley,Fiction
0060088745,A Year in the Life of William Shakespeare,James Shapiro,Biography & Autobiography
0060090375,Lucy Sullivan Is Getting Married,Marian Keyes,Fiction
0060092572,The Terminal Man,Michael Crichton,Fiction
0060093749,The Art of the Novel,Milan Kundera,Literary Criticism
0060094931,The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction
0060099453,Merry Christmas, Amelia Bedelia,Peggy Parish,Juvenile Fiction
0060175648,Identity,Milan Kundera,Fiction
0060177241,The thief of always,Clive Barker,Fiction
006019250X,The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,Fiction
0060192771,Mars and Venus Book of Days,John Gray,Family & Relationships
0060218053,The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction
0060245603,Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction
0060256575,The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction
0060256753,Lafcadio, the Lion Who Shot Back,Shel Silverstein,Juvenile Fiction
0060277408,The Secret Garden Cookbook,Amy Cotler,Juvenile Nonfiction
0060278420,Laura's Album,William Anderson,Juvenile Nonfiction
0060391537,Quivers,Robin Quivers,African Americans in radio broadcasting
0060502959,Moonspinners,Mary Stewart,Fiction
0060504080,Small Wonder,Barbara Kingsolver,Literary Collections
0060506040,Worlds Enough & Time,Dan Simmons,Fiction
0060507403,The Cheese Monkeys,Chip Kidd,Fiction
0060509058,Travels,Michael Crichton,Biography & Autobiography
0060510854,Caesar,Colleen McCullough,Fiction
0060510862,The Forever War,Joe Haldeman,Fiction
0060511060,Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction
0060511109,The Secret Sister,Elizabeth Lowell,Fiction
0060511117,Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction
0060511133,Whirlpool,Elizabeth Lowell,Fiction
0060511141,Teach Us, Amelia Bedelia,Peggy Parish,Juvenile Fiction
0060512806,Cryptonomicon,Neal Stephenson,Fiction
0060513098,Falling Up,Shel Silverstein,Juvenile Nonfiction
0060515198,Anansi Boys,Neil Gaiman,Fiction
0060515228,Fragile Things,Neil Gaiman,Fiction
0060516054,What Went Wrong?,Bernard Lewis,History
0060518650,Letters from the Earth,Mark Twain,Literary Criticism
0060519134,Savannah Blues,Mary Kay Andrews,Fiction
0060521228,The Whipping Boy,Sid Fleischman,Juvenile Fiction
0060521996,The Innovator's Dilemma,Clayton M. Christensen,Business & Economics
0060524936,A Nose for Murder,Lee Charles Kelley,Fiction
006052510X,Happiness,Will Ferguson,Fiction
0060525118,Size 12 Is Not Fat,Meg Cabot,Fiction
0060527986,Warrior of the Light,Paulo Coelho,Fiction
0060527994,The Devil and Miss Prym,Paulo Coelho,Fiction
0060529571,The Big Bing,Stanley Bing,Business & Economics
0060531045,One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction
0060535113,Walt Whitman,Justin Kaplan,Biography & Autobiography
0060539097,How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,Biography & Autobiography
0060539259,The Outsider,Richard Wright,Fiction
006054094X,1421,Gavin Menzies,History
0060541814,The Andromeda Strain,Michael Crichton,Fiction
0060541830,Congo,Michael Crichton,Fiction
0060541881,Johnny and the Dead,Terry Pratchett,Juvenile Fiction
0060542381,Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction
0060543493,The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,Juvenile Fiction
0060545844,The Bradbury Chronicles,Sam Weller,Biography & Autobiography
0060546573,Three Rotten Eggs,Gregory Maguire,Juvenile Fiction
0060548282,The Wicked Day,Mary Stewart,Fiction
0060554738,The Game,Neil Strauss,Biography & Autobiography
0060556501,The Lion, the Witch and the Wardrobe (picture book edition),C. S. Lewis,Juvenile Fiction
0060556528,Gold,Isaac Asimov,Fiction
0060564784,The Kindness of Strangers,Katrina Kittle,Fiction
0060566108,Built to Last,Jim Collins;Jerry I. Porras,Business & Economics
006056668X,Fluke,Christopher Moore,Fiction
0060567236,Lord of Light,Roger Zelazny,Fiction
006057058X,The Perennial Philosophy,Aldous Huxley,Philosophy
0060572000,A Crack in the Edge of the World,Simon Winchester,History
0060572965,Dead Witch Walking,Kim Harrison,Fiction
0060572973,The Good, the Bad, and the Undead,Kim Harrison,Fiction
0060574216,Men Are from Mars, Women Are from Venus,John Gray,Family & Relationships
0060575816,Sabriel (adult),Garth Nix,Fiction
0060577045,Slouching Toward Nirvana,Charles Bukowski,Poetry
006057786X,Bad Childhood---Good Life,Laura Schlessinger,Self-Help
0060578114,Cat Cross Their Graves,Shirley Rousseau Murphy,Fiction
0060578122,Cat Breaking Free,Shirley Rousseau Murphy,Fiction
006058033X,Slider,Patrick Robinson,Sports & Recreation
0060582502,The Black Dahlia Files,Don Wolfe,True Crime
0060584025,Metro Girl,Janet Evanovich,Fiction
0060584033,Motor Mouth,Janet Evanovich,Fiction
0060584750,Mystic River,Dennis Lehane,Fiction
0060586540,Great Short Works of Herman Melville,Herman Melville,Fiction
0060587032,The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,Juvenile Fiction
0060589280,Eleven Minutes,Paulo Coelho,Fiction
0060589469,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Psychology
0060590157,Ulysses S. Grant,Michael Korda,Biography & Autobiography
0060590270,A Dirty Job,Christopher Moore,Fiction
0060593083,Quicksilver,Neal Stephenson,Fiction
0060593245,Every Book Its Reader,Nicholas A. Basbanes,Literary Criticism
0060593636,Flirting With Danger,Suzanne Enoch,Fiction
0060594527,Lost Horizon,James Hilton,Fiction
0060595183,The Doors of Perception and Heaven and Hell,Aldous Huxley,Philosophy
0060598808,Thanksgiving,Janet Evanovich,Fiction
0060598840,Love Overboard,Janet Evanovich,Fiction
0060598859,Back to the Bedroom,Janet Evanovich,Fiction
0060598891,The Rocky Road to Romance,Janet Evanovich,Fiction
0060598964,Thomas Jefferson,Christopher Hitchens,Biography & Autobiography
0060598972,Muhammad,Karen Armstrong,Biography & Autobiography
0060609176,Meeting Jesus Again for the First Time,Marcus J. Borg,Religion
